country_iso3,gco_country,who_region,income_label,dirac_matched,unit_pressure_rank,selected_site_cases_per_mv_unit_2050,high_growth_q75,lower_quartile_unit_density,acceleration_risk,selected_site_cases_2024,selected_site_cases_2050,selected_site_case_increase_2050,selected_site_relative_case_growth_2050,mv_therapy_units,mv_units_per_1000_selected_site_cases_2050
AFG,Afghanistan,EMRO,Low income,0,,,1,0,0,12072.0,32926.0,20854.0,1.7274685222001325,,
ALB,Albania,EURO,Upper middle income,1,48.0,1363.25,0,0,0,4884.0,5453.0,569.0,0.1165028665028665,4.0,0.7335411699981661
DZA,Algeria,AFRO,Lower middle income,1,58.0,1149.40625,0,0,0,38240.0,73562.0,35322.0,0.9236924686192468,64.0,0.8700144096136593
AGO,Angola,AFRO,Lower middle income,1,9.0,12268.0,1,1,1,15108.0,36804.0,21696.0,1.436060365369341,3.0,0.0815128790348875
AZE,Azerbaijan,EURO,Upper middle income,1,65.0,1017.7,0,0,0,6191.0,10177.0,3986.0,0.6438378291067679,10.0,0.9826078412105728
ARG,Argentina,PAHO,Upper middle income,1,86.0,776.0839694656488,0,0,0,66042.0,101667.0,35625.0,0.5394294539838285,131.0,1.2885203655069983
AUS,Australia,WPRO,High income,1,116.0,500.3794642857143,0,0,0,75401.0,112085.0,36684.0,0.4865187464357237,224.0,1.9984832939287147
AUT,Austria,EURO,High income,1,121.0,480.1551724137931,0,0,0,23043.0,27849.0,4806.0,0.2085665928915505,58.0,2.0826600596071674
BHS,Bahamas,PAHO,High income,1,57.0,1152.0,0,0,0,691.0,1152.0,461.0,0.6671490593342981,1.0,0.8680555555555556
BHR,Bahrain,EMRO,High income,1,66.0,1005.5,0,0,0,1035.0,2011.0,976.0,0.9429951690821256,2.0,0.9945300845350572
BGD,Bangladesh,SEARO,Lower middle income,1,23.0,6122.4324324324325,0,1,0,114044.0,226530.0,112486.0,0.9863386061520116,37.0,0.1633337747759678
ARM,Armenia,EURO,Upper middle income,1,67.0,999.25,0,0,0,5693.0,7994.0,2301.0,0.4041805726330581,8.0,1.0007505629221916
BRB,Barbados,PAHO,High income,1,149.0,237.66666666666666,0,0,0,610.0,713.0,103.0,0.1688524590163934,3.0,4.207573632538569
BEL,Belgium,EURO,High income,1,115.0,503.09090909090907,0,0,0,40580.0,49806.0,9226.0,0.2273533760473139,99.0,1.987712323816408
BTN,Bhutan,SEARO,Lower middle income,0,,,0,0,0,280.0,579.0,299.0,1.0678571428571428,,
BOL,Bolivia (Plurinational State of),PAHO,Lower middle income,1,77.0,848.6875,0,0,0,6849.0,13579.0,6730.0,0.9826252007592348,16.0,1.1782900066278812
BIH,Bosnia Herzegovina,EURO,Upper middle income,1,142.0,371.9,0,0,0,7255.0,7438.0,183.0,0.0252239834596829,20.0,2.688894864210809
BWA,Botswana,AFRO,Upper middle income,1,50.0,1300.6666666666667,1,0,0,1658.0,3902.0,2244.0,1.353437876960193,3.0,0.7688364941055869
BRA,Brazil,PAHO,Upper middle income,1,43.0,1554.7270270270271,0,0,0,329595.0,575249.0,245654.0,0.7453207724631745,370.0,0.6431997274223857
BLZ,Belize,PAHO,Lower middle income,0,,,1,0,0,255.0,639.0,384.0,1.5058823529411764,,
SLB,Solomon Islands,WPRO,Lower middle income,0,,,1,0,0,430.0,1021.0,591.0,1.3744186046511628,,
BRN,Brunei Darussalam,WPRO,High income,1,139.0,399.5,0,0,0,399.0,799.0,400.0,1.0025062656641603,2.0,2.503128911138924
BGR,Bulgaria,EURO,Upper middle income,1,146.0,328.6875,0,0,0,16651.0,15777.0,-874.0,-0.0524893399795808,48.0,3.042403498764024
MMR,Myanmar,SEARO,Lower middle income,1,34.0,2705.1739130434785,0,1,0,39466.0,62219.0,22753.0,0.5765215628642376,23.0,0.3696620003535897
BDI,Burundi,AFRO,Low income,0,,,1,0,0,4308.0,11541.0,7233.0,1.6789693593314765,,
BLR,Belarus,EURO,Upper middle income,1,91.0,727.0,0,0,0,23264.0,25445.0,2181.0,0.09375,35.0,1.375515818431912
KHM,Cambodia,WPRO,Lower middle income,1,25.0,5813.0,0,1,0,9559.0,17439.0,7880.0,0.8243540119259337,3.0,0.1720282126268708
CMR,Cameroon,AFRO,Lower middle income,1,11.0,11453.0,1,1,1,8784.0,22906.0,14122.0,1.607695810564663,2.0,0.0873133676765912
