all_cancer_absolute_case_increase_2050,all_cancer_cases_2024,all_cancer_cases_2030,all_cancer_cases_2040,all_cancer_cases_2050,all_cancer_deaths_2024,all_cancer_deaths_2030,all_cancer_deaths_2040,all_cancer_deaths_2050,all_cancer_relative_case_growth_2050,brachy_units_per_1000_selected_site_cases_2050,brachytherapy_flag,brachytherapy_units,country_code,country_iso3,ct_units,dirac_country,dirac_iso3,dirac_last_update_year,dirac_matched,dirac_region,gco_country,hdi_label,acceleration_risk,high_growth_q75,income_label,kv_therapy_units,lower_quartile_unit_density,mv_therapy_units,mv_units_per_1000_all_cancer_cases_2050,mv_units_per_1000_selected_site_cases_2050,mv_units_per_million_population_2024,population_2024,population_2030,population_2040,population_2050,proton_ion_units,rt_centres_per_10000_selected_site_cases_2050,rt_centres_total,rt_centres_with_rt,selected_site_case_increase_2050,selected_site_death_increase_2050,selected_site_cases_2024,selected_site_cases_2030,selected_site_cases_2040,selected_site_cases_2050,selected_site_deaths_2024,selected_site_deaths_2030,selected_site_deaths_2040,selected_site_deaths_2050,selected_site_relative_case_growth_2050,selected_site_relative_death_growth_2050,selected_site_cases_per_mv_unit_2050,share_global_selected_site_case_increment,simulators,treatment_planning_systems,unit_pressure_rank,who_region
85609.0,52048.0,65271.0,95644.0,137657.0,31601.0,39819.0,59134.0,87221.0,1.6448086381801414,nan,,,4,AFG,,,,,0,,Afghanistan,Low HDI,0,1,Low income,,0,,nan,nan,nan,42647503.0,50039410.0,63347882.0,76885146.0,,nan,,,20854.0,12581.0,12072.0,15256.0,22660.0,32926.0,6952.0,8805.0,13188.0,19533.0,1.7274685222001325,1.8096950517836594,nan,0.0040380866664717395,,,,EMRO
2560.0,17864.0,18919.0,19920.0,20424.0,9629.0,10455.0,11477.0,12052.0,0.14330497089117777,0.0,No,0,8,ALB,0,Albania,ALB,2025,1,Southern Europe,Albania,High HDI,0,0,Upper middle income,1,0,4,0.19584802193497847,0.7335411699981661,1.4327807336840304,2791774.0,2671894.0,2461874.0,2240174.0,0,3.667705849990831,3,2,569.0,540.0,4884.0,5136.0,5342.0,5453.0,2522.0,2706.0,2924.0,3062.0,0.11650286650286651,0.2141157811260904,1363.25,0.00011017892554053993,0,0,48,EURO
137136.0,144325.0,174495.0,229158.0,281461.0,74007.0,91338.0,123674.0,153794.0,0.9501888099774813,0.14953372665234768,No,11,12,DZA,0,Algeria,DZA,2026,1,Northern Africa,Algeria,High HDI,0,0,Lower middle income,0,0,64,0.2273849663008374,0.8700144096136593,1.367103203368457,46814315.0,50154175.0,54873486.0,59565563.0,0,3.126614284549088,23,23,35322.0,19766.0,38240.0,46129.0,60075.0,73562.0,19174.0,23540.0,31519.0,38940.0,0.9236924686192468,1.0308751434233858,1149.40625,0.00683961337072575,0,0,58,AFRO
72134.0,54004.0,66116.0,91897.0,126138.0,32168.0,39559.0,55397.0,76538.0,1.3357158728983038,0.027170959678295838,No,1,24,AGO,0,Angola,AGO,2023,1,Middle Africa,Angola,Medium HDI,1,1,Lower middle income,0,1,3,0.023783475241402275,0.0815128790348875,0.07918521789356815,37885859.0,45160468.0,58965331.0,74295403.0,0,0.5434191935659167,2,2,21696.0,13298.0,15108.0,18647.0,26290.0,36804.0,9139.0,11303.0,15997.0,22437.0,1.4360603653693407,1.4550826129773498,12268.0,0.004201128239942978,0,0,9,AFRO
18873.0,30291.0,35629.0,43461.0,49164.0,17737.0,21297.0,26568.0,30468.0,0.6230563533722888,0.09826078412105728,No,1,31,AZE,0,Azerbaijan,AZE,2023,1,Western Asia,Azerbaijan,High HDI,0,0,Upper middle income,1,0,10,0.20340086241965666,0.9826078412105729,0.9674372239659741,10336588.0,10665389.0,11081343.0,11224933.0,0,2.9478235236317185,3,3,3986.0,2086.0,6191.0,7317.0,8977.0,10177.0,2964.0,3548.0,4422.0,5050.0,0.6438378291067679,0.703778677462888,1017.7,0.0007718333870027983,0,0,65,EURO
145235.0,272918.0,303429.0,359167.0,418153.0,142699.0,161102.0,195704.0,234849.0,0.5321561787789739,0.4622935662506025,No,47,32,ARG,0,Argentina,ARG,2026,1,South America,Argentina,Very High HDI,0,0,Upper middle income,8,0,131,0.31328245881292255,1.2885203655069983,2.866761106385089,45696169.0,46585029.0,47817652.0,48308953.0,0,8.754069658788003,99,89,35625.0,20988.0,66042.0,73473.0,87184.0,101667.0,32264.0,36447.0,44341.0,53252.0,0.5394294539838285,0.6505083064716092,776.0839694656488,0.006898285100846635,0,0,86,PAHO
195210.0,385825.0,436935.0,514829.0,581035.0,108248.0,129978.0,166362.0,196602.0,0.5059547722413011,0.0892180041932462,No,10,36,AUS,0,Australia,AUS,2025,1,Australia and New Zealand,Australia,Very High HDI,0,0,High income,6,0,224,0.385518944641889,1.9984832939287147,8.385363452909989,26713213.0,28188546.0,30357457.0,32506979.0,0,9.189454431904359,105,103,36684.0,18997.0,75401.0,85138.0,99671.0,112085.0,24056.0,28777.0,36553.0,43053.0,0.4865187464357237,0.7896990355836382,500.3794642857143,0.007103345702160224,0,0,116,WPRO
22262.0,93368.0,100454.0,110766.0,115630.0,44941.0,49926.0,59028.0,66289.0,0.238432867791963,0.7181586412438508,No,20,40,AUT,0,Austria,AUT,2026,1,Western Europe,Austria,Very High HDI,0,0,High income,8,0,58,0.5015999308138026,2.0826600596071674,6.359075969249263,9120822.0,9080356.0,8934068.0,8724340.0,1,6.104348450572732,17,17,4806.0,4776.0,23043.0,24774.0,27050.0,27849.0,10682.0,11849.0,13854.0,15458.0,0.20856659289155058,0.4471072832802846,480.1551724137931,0.0009306149668678997,0,0,121,EURO
1434.0,2232.0,2544.0,3116.0,3666.0,1050.0,1206.0,1476.0,1738.0,0.6424731182795699,0.8680555555555556,No,1,44,BHS,0,Bahamas,BHS,2025,1,Caribbean,Bahamas,Very High HDI,0,0,High income,0,0,1,0.27277686852154936,0.8680555555555556,2.4919634179770243,401290.0,410275.0,420356.0,424275.0,0,8.680555555555555,1,1,461.0,182.0,691.0,788.0,970.0,1152.0,276.0,315.0,387.0,458.0,0.6671490593342981,0.6594202898550725,1152.0,8.926622965586803e-05,0,0,57,PAHO
3572.0,4193.0,4955.0,6273.0,7765.0,1764.0,2132.0,2818.0,3592.0,0.8518960171714762,0.0,No,0,48,BHR,0,Bahrain,BHR,2018,1,Western Asia,Bahrain,Very High HDI,0,0,High income,0,0,2,0.25756600128783,0.9945300845350572,1.2445101545806063,1607058.0,1765219.0,1951243.0,2139475.0,0,4.972650422675286,1,1,976.0,425.0,1035.0,1235.0,1602.0,2011.0,398.0,480.0,644.0,823.0,0.9429951690821256,1.0678391959798994,1005.5,0.00018898880725407203,0,0,66,EMRO
