all_cancer_absolute_case_increase_2050,all_cancer_cases_2024,all_cancer_cases_2030,all_cancer_cases_2040,all_cancer_cases_2050,all_cancer_deaths_2024,all_cancer_deaths_2030,all_cancer_deaths_2040,all_cancer_deaths_2050,all_cancer_relative_case_growth_2050,brachy_units_per_1000_selected_site_cases_2050,brachytherapy_flag,brachytherapy_units,country_code,country_iso3,ct_units,dirac_country,dirac_iso3,dirac_last_update_year,dirac_matched,dirac_region,gco_country,hdi_label,meets_both_thresholds,high_growth_q75,income_label,kv_therapy_units,lower_quartile_unit_density,mv_therapy_units,mv_units_per_1000_all_cancer_cases_2050,mv_units_per_1000_selected_site_cases_2050,mv_units_per_million_population_2024,population_2024,population_2030,population_2040,population_2050,proton_ion_units,rt_centres_per_10000_selected_site_cases_2050,rt_centres_total,rt_centres_with_rt,selected_site_case_increase_2050,selected_site_death_increase_2050,selected_site_cases_2024,selected_site_cases_2030,selected_site_cases_2040,selected_site_cases_2050,selected_site_deaths_2024,selected_site_deaths_2030,selected_site_deaths_2040,selected_site_deaths_2050,selected_site_relative_case_growth_2050,selected_site_relative_death_growth_2050,selected_site_cases_per_mv_unit_2050,share_global_selected_site_case_increment,simulators,treatment_planning_systems,unit_pressure_rank,who_region,country_display,gco2022_selected_cases_2022,gco2022_selected_cases_2025,gco2022_selected_cases_2040,gco2022_selected_cases_2050,gco2022_selected_growth_2022_2050,gco2022_selected_growth_2025_2050,gco2024_selected_cases_2024,gco2024_selected_cases_2025,gco2024_selected_cases_2040,gco2024_selected_cases_2050,gco2024_selected_growth_2024_2050,gco2024_selected_growth_2025_2050,gco2022_mv_per_1000_selected_cases_2050,gco2022_high_growth_q75,gco2022_lower_density_q25,gco2022_screen_positive,gco2022_growth_percentile,gco2024_growth_percentile_common,current_screen_positive,burden_version_transition,gco2024_mv_per_1000_selected_cases_2050,gco2022_common_year_screen_positive,gco2024_common_year_screen_positive,gco2022_common_year_growth_percentile,gco2024_common_year_growth_percentile,common_year_burden_version_transition,mv_units_per_1000_selected_cases_2024,screen_positive_2024_density,screen_positive_q80_q20,support_baseline_density,support_strict_q80_q20,support_all_cancer_burden,support_2040_horizon,support_rt_centres_metric,support_mortality_growth,support_excluding_small_baseline_burden,sensitivity_support_count_7,recent_dirac_record,recent_record_screen_positive
85609.0,52048.0,65271.0,95644.0,137657.0,31601.0,39819.0,59134.0,87221.0,1.6448086381801414,,,,4,AFG,,,,,0,,Afghanistan,Low HDI,0,1,Low income,,0,,,,,42647503.0,50039410.0,63347882.0,76885146.0,,,,,20854.0,12581.0,12072.0,15256.0,22660.0,32926.0,6952.0,8805.0,13188.0,19533.0,1.7274685222001325,1.8096950517836596,,0.0040380866664717,,,,EMRO,Afghanistan,11366.0,11875.0,20972.0,30047.0,1.6435861340841105,1.5302736842105262,12072,12545,22660,32926,1.7274685222001325,1.6246313272220008,,False,False,False,,,False,Not comparable,,False,False,,,Not comparable,,False,False,False,False,False,False,False,False,False,0,False,False
2560.0,17864.0,18919.0,19920.0,20424.0,9629.0,10455.0,11477.0,12052.0,0.1433049708911777,0.0,No,0.0,8,ALB,0.0,Albania,ALB,2025.0,1,Southern Europe,Albania,High HDI,0,0,Upper middle income,1.0,0,4.0,0.1958480219349784,0.7335411699981661,1.4327807336840304,2791774.0,2671894.0,2461874.0,2240174.0,0.0,3.667705849990831,3.0,2.0,569.0,540.0,4884.0,5136.0,5342.0,5453.0,2522.0,2706.0,2924.0,3062.0,0.1165028665028665,0.2141157811260904,1363.25,0.0001101789255405,0.0,0.0,48.0,EURO,Albania,4466.0,4783.0,5759.0,6106.0,0.3672189879086431,0.2766046414384278,4884,4934,5342,5453,0.11650286650286651,0.10518848804215647,0.6550933508024893,False,False,False,29.53020134228188,15.436241610738255,False,Not screen-positive in either version,0.7335411699981661,False,False,26.174496644295303,15.436241610738255,Not screen-positive in either version,0.819000819000819,False,False,False,False,False,False,False,False,False,0,True,False
137136.0,144325.0,174495.0,229158.0,281461.0,74007.0,91338.0,123674.0,153794.0,0.9501888099774812,0.1495337266523476,No,11.0,12,DZA,0.0,Algeria,DZA,2026.0,1,Northern Africa,Algeria,High HDI,0,0,Lower middle income,0.0,0,64.0,0.2273849663008374,0.8700144096136593,1.367103203368457,46814315.0,50154175.0,54873486.0,59565563.0,0.0,3.126614284549088,23.0,23.0,35322.0,19766.0,38240.0,46129.0,60075.0,73562.0,19174.0,23540.0,31519.0,38940.0,0.9236924686192468,1.0308751434233858,1149.40625,0.0068396133707257,0.0,0.0,58.0,AFRO,Algeria,34189.0,36470.0,55954.0,69184.0,1.0235748340109392,0.8970112421168084,38240,39516,60075,73562,0.9236924686192468,0.8615750582042717,0.9250693802035153,False,False,False,63.08724832214765,61.74496644295302,False,Not screen-positive in either version,0.8700144096136593,False,False,65.1006711409396,61.74496644295302,Not screen-positive in either version,1.6736401673640167,False,False,False,False,False,False,False,False,False,0,True,False
72134.0,54004.0,66116.0,91897.0,126138.0,32168.0,39559.0,55397.0,76538.0,1.3357158728983038,0.0271709596782958,No,1.0,24,AGO,0.0,Angola,AGO,2023.0,1,Middle Africa,Angola,Medium HDI,1,1,Lower middle income,0.0,1,3.0,0.0237834752414022,0.0815128790348875,0.0791852178935681,37885859.0,45160468.0,58965331.0,74295403.0,0.0,0.5434191935659167,2.0,2.0,21696.0,13298.0,15108.0,18647.0,26290.0,36804.0,9139.0,11303.0,15997.0,22437.0,1.436060365369341,1.4550826129773498,12268.0,0.0042011282399429,0.0,0.0,9.0,AFRO,Angola,12773.0,15762.0,26946.0,37998.0,1.9748688640100212,1.410734678340312,15108,15654,26290,36804,1.4360603653693407,1.3510923725565351,0.07895152376440866,True,True,True,94.63087248322147,89.26174496644296,True,Retained,0.0815128790348875,True,True,87.24832214765101,89.93288590604027,Retained,0.19857029388403494,True,True,True,True,True,True,True,True,True,7,True,True
18873.0,30291.0,35629.0,43461.0,49164.0,17737.0,21297.0,26568.0,30468.0,0.6230563533722888,0.0982607841210572,No,1.0,31,AZE,0.0,Azerbaijan,AZE,2023.0,1,Western Asia,Azerbaijan,High HDI,0,0,Upper middle income,1.0,0,10.0,0.2034008624196566,0.9826078412105728,0.967437223965974,10336588.0,10665389.0,11081343.0,11224933.0,0.0,2.9478235236317185,3.0,3.0,3986.0,2086.0,6191.0,7317.0,8977.0,10177.0,2964.0,3548.0,4422.0,5050.0,0.6438378291067679,0.703778677462888,1017.7,0.0007718333870027,0.0,0.0,65.0,EURO,Azerbaijan,9025.0,9654.0,13719.0,15636.0,0.7325207756232687,0.6196395276569298,6191,6380,8977,10177,0.6438378291067679,0.595141065830721,0.6395497569710924,False,False,False,46.97986577181208,46.308724832214764,False,Not screen-positive in either version,0.9826078412105729,False,False,45.63758389261745,46.308724832214764,Not screen-positive in either version,1.6152479405588758,False,False,False,False,False,False,False,False,False,0,True,False
145235.0,272918.0,303429.0,359167.0,418153.0,142699.0,161102.0,195704.0,234849.0,0.5321561787789739,0.4622935662506025,No,47.0,32,ARG,0.0,Argentina,ARG,2026.0,1,South America,Argentina,Very High HDI,0,0,Upper middle income,8.0,0,131.0,0.3132824588129225,1.2885203655069983,2.866761106385089,45696169.0,46585029.0,47817652.0,48308953.0,0.0,8.754069658788003,99.0,89.0,35625.0,20988.0,66042.0,73473.0,87184.0,101667.0,32264.0,36447.0,44341.0,53252.0,0.5394294539838285,0.6505083064716092,776.0839694656488,0.0068982851008466,0.0,0.0,86.0,PAHO,Argentina,65909.0,69618.0,91119.0,107542.0,0.6316739747227238,0.544744175356948,66042,67245,87184,101667,0.5394294539838285,0.5118893598037029,1.2181287311004072,False,False,False,42.95302013422819,39.59731543624161,False,Not screen-positive in either version,1.2885203655069983,False,False,42.281879194630875,40.26845637583892,Not screen-positive in either version,1.9835862027194815,False,False,False,False,False,False,False,False,False,0,True,False
195210.0,385825.0,436935.0,514829.0,581035.0,108248.0,129978.0,166362.0,196602.0,0.5059547722413011,0.0892180041932462,No,10.0,36,AUS,0.0,Australia,AUS,2025.0,1,Australia and New Zealand,Australia,Very High HDI,0,0,High income,6.0,0,224.0,0.385518944641889,1.9984832939287147,8.385363452909989,26713213.0,28188546.0,30357457.0,32506979.0,0.0,9.18945443190436,105.0,103.0,36684.0,18997.0,75401.0,85138.0,99671.0,112085.0,24056.0,28777.0,36553.0,43053.0,0.4865187464357237,0.7896990355836382,500.3794642857143,0.0071033457021602,0.0,0.0,116.0,WPRO,Australia,70895.0,76276.0,98986.0,112753.0,0.5904224557444108,0.47822381876343806,75401,77045,99671,112085,0.4865187464357237,0.45479914335777794,1.986643370908091,False,False,False,39.59731543624161,37.58389261744966,False,Not screen-positive in either version,1.9984832939287147,False,False,38.92617449664429,37.58389261744966,Not screen-positive in either version,2.970782880863649,False,False,False,False,False,False,False,False,False,0,True,False
22262.0,93368.0,100454.0,110766.0,115630.0,44941.0,49926.0,59028.0,66289.0,0.238432867791963,0.7181586412438508,No,20.0,40,AUT,0.0,Austria,AUT,2026.0,1,Western Europe,Austria,Very High HDI,0,0,High income,8.0,0,58.0,0.5015999308138026,2.0826600596071674,6.359075969249263,9120822.0,9080356.0,8934068.0,8724340.0,1.0,6.104348450572732,17.0,17.0,4806.0,4776.0,23043.0,24774.0,27050.0,27849.0,10682.0,11849.0,13854.0,15458.0,0.2085665928915505,0.4471072832802846,480.1551724137931,0.0009306149668678,0.0,0.0,121.0,EURO,Austria,23398.0,24233.0,28464.0,29513.0,0.2613471236857851,0.21788470267816615,23043,23333,27050,27849,0.20856659289155058,0.19354562208031542,1.9652356588621964,False,False,False,22.14765100671141,21.476510067114095,False,Not screen-positive in either version,2.0826600596071674,False,False,20.80536912751678,21.476510067114095,Not screen-positive in either version,2.5170333723907476,False,False,False,False,False,False,False,False,False,0,True,False
1434.0,2232.0,2544.0,3116.0,3666.0,1050.0,1206.0,1476.0,1738.0,0.6424731182795699,0.8680555555555556,No,1.0,44,BHS,0.0,Bahamas,BHS,2025.0,1,Caribbean,Bahamas,Very High HDI,0,0,High income,0.0,0,1.0,0.2727768685215493,0.8680555555555556,2.4919634179770243,401290.0,410275.0,420356.0,424275.0,0.0,8.680555555555555,1.0,1.0,461.0,182.0,691.0,788.0,970.0,1152.0,276.0,315.0,387.0,458.0,0.6671490593342981,0.6594202898550725,1152.0,8.926622965586803e-05,0.0,0.0,57.0,PAHO,Bahamas,558.0,657.0,972.0,1135.0,1.0340501792114696,0.7275494672754946,691,706,970,1152,0.6671490593342981,0.6317280453257791,0.8810572687224669,False,False,False,63.758389261744966,47.651006711409394,False,Not screen-positive in either version,0.8680555555555556,False,False,52.348993288590606,48.322147651006716,Not screen-positive in either version,1.447178002894356,False,False,False,False,False,False,False,False,False,0,True,False
3572.0,4193.0,4955.0,6273.0,7765.0,1764.0,2132.0,2818.0,3592.0,0.8518960171714762,0.0,No,0.0,48,BHR,0.0,Bahrain,BHR,2018.0,1,Western Asia,Bahrain,Very High HDI,0,0,High income,0.0,0,2.0,0.25756600128783,0.9945300845350572,1.2445101545806063,1607058.0,1765219.0,1951243.0,2139475.0,0.0,4.972650422675286,1.0,1.0,976.0,425.0,1035.0,1235.0,1602.0,2011.0,398.0,480.0,644.0,823.0,0.9429951690821256,1.0678391959798994,1005.5,0.000188988807254,0.0,0.0,66.0,EMRO,Bahrain,706.0,775.0,1549.0,2259.0,2.1997167138810196,1.9148387096774193,1035,1072,1602,2011,0.9429951690821256,0.8759328358208955,0.8853474988933157,True,False,False,97.98657718120806,62.41610738255034,False,Not screen-positive in either version,0.9945300845350572,False,False,97.98657718120806,62.41610738255034,Not screen-positive in either version,1.932367149758454,False,False,False,False,False,False,False,False,False,0,False,False
