rt_mismatch_rank,country_iso3,gco_country,who_region,hdi_label,income_label,rt_relevant_cases_2024,rt_relevant_cases_2050,rt_relevant_absolute_case_increase_2050,rt_relevant_relative_case_growth_2050,rt_centres_with_rt,mv_therapy_units,brachytherapy_units,mv_units_per_1000_rt_relevant_cases_2050,rt_centres_per_10000_rt_relevant_cases_2050,high_growth_low_resource,rt_mismatch_score,dirac_last_update_year
1,ETH,Ethiopia,AFRO,Low HDI,Low income,41349.0,99613.0,58264.0,1.4090788169000459,2,3,2,0.030116551052573458,0.2007770070171564,1,2.751677852348993,2022
2,COD,"Congo, Democratic Republic of",AFRO,Low HDI,Low income,38447.0,91916.0,53469.0,1.3907196920435925,1,1,0,0.010879498672701162,0.10879498672701161,1,2.738255033557047,2021
3,UGA,Uganda,AFRO,Medium HDI,Low income,15507.0,46945.0,31438.0,2.0273424904881665,1,5,1,0.10650761529449355,0.2130152305889871,1,2.7315436241610738,2026
4,YEM,Yemen,EMRO,Low HDI,Low income,11974.0,33953.0,21979.0,1.835560380825121,1,1,0,0.029452478426059553,0.29452478426059553,1,2.7114093959731544,2018
5,MWI,Malawi,AFRO,Low HDI,Low income,12864.0,34319.0,21455.0,1.667832711442786,2,2,0,0.058276756315743465,0.5827675631574346,1,2.6375838926174495,2026
6,ZMB,Zambia,AFRO,Medium HDI,Lower middle income,9543.0,28900.0,19357.0,2.02839777847637,1,3,2,0.10380622837370242,0.3460207612456747,1,2.61744966442953,2019
7,NGA,Nigeria,AFRO,Low HDI,Lower middle income,97049.0,202738.0,105689.0,1.0890271924491752,15,17,12,0.08385206522704179,0.7398711637680159,0,2.597315436241611,2026
8,AGO,Angola,AFRO,Medium HDI,Lower middle income,15108.0,36804.0,21696.0,1.4360603653693407,2,3,1,0.0815128790348875,0.5434191935659167,1,2.5704697986577183,2023
9,TZA,"Tanzania, United Republic of",AFRO,Low HDI,Lower middle income,16916.0,44604.0,27688.0,1.6367935682194372,6,11,5,0.2466146533943144,1.3451708366962605,1,2.5637583892617446,2026
10,MOZ,Mozambique,AFRO,Low HDI,Low income,11653.0,28686.0,17033.0,1.461683686604308,1,1,0,0.034860210555671754,0.34860210555671756,1,2.557046979865772,2025
