cancer_code,cancer_label,included_main_rt_set,world_absolute_case_increase_2050,world_cases_2024,world_cases_2050,world_relative_case_growth_2050
15,"Trachea, bronchus and lung",1,1973029.0,2637005.0,4610034.0,0.7482082893282341
20,Breast,1,1148264.0,2434087.0,3582351.0,0.47174320391999136
27,Prostate,1,1337348.0,1546112.0,2883460.0,0.8649748530507493
30,Bladder,1,562429.0,635264.0,1197693.0,0.8853468794076164
6,Oesophagus,1,350452.0,494320.0,844772.0,0.7089577601553649
23,Cervix uteri,1,231410.0,604196.0,835606.0,0.38300485272990886
1,"Lip, oral cavity",1,242939.0,452205.0,695144.0,0.5372320076071693
24,Corpus uteri,1,229087.0,434620.0,663707.0,0.5270972343656527
31,"Brain, central nervous system",1,158341.0,324095.0,482436.0,0.48856353846865885
14,Larynx,1,123081.0,193937.0,317018.0,0.6346442401398392
4,Nasopharynx,1,49180.0,119750.0,168930.0,0.41068893528183714
3,Oropharynx,1,59634.0,107887.0,167521.0,0.5527450017147572
5,Hypopharynx,1,51126.0,91464.0,142590.0,0.5589740225662556
