"rank","country","who_region","income_group","rt_relevant_cases_2050","growth_percent","mv_units","mv_per_1000_rt_cases","hglr"
"1","Ethiopia","AFRO","Low income","99613","141","3","0.03","Yes"
"2","DR Congo","AFRO","Low income","91916","139","1","0.011","Yes"
"3","Uganda","AFRO","Low income","46945","203","5","0.107","Yes"
"4","Yemen","EMRO","Low income","33953","184","1","0.029","Yes"
"5","Malawi","AFRO","Low income","34319","167","2","0.058","Yes"
"6","Zambia","AFRO","Lower middle income","28900","203","3","0.104","Yes"
"7","Nigeria","AFRO","Lower middle income","202738","109","17","0.084","No"
"8","Angola","AFRO","Lower middle income","36804","144","3","0.082","Yes"
"9","Tanzania","AFRO","Lower middle income","44604","164","11","0.247","Yes"
"10","Mozambique","AFRO","Low income","28686","146","1","0.035","Yes"
