Country,WHO region,Income,2024 cases,2050 cases,"Growth, %",MV units,2050 cases/MV unit,DIRAC update
Democratic Republic of the Congo,AFRO,LIC,"38,447","91,916",139,1,"91,916",2021
Yemen,EMRO,LIC,"11,974","33,953",184,1,"33,953",2018
Ethiopia,AFRO,LIC,"41,349","99,613",141,3,"33,204",2022
Mozambique,AFRO,LIC,"11,653","28,686",146,1,"28,686",2025
Niger,AFRO,LIC,"7,410","19,785",167,1,"19,785",2021
Malawi,AFRO,LIC,"12,864","34,319",167,2,"17,160",2026
Angola,AFRO,LMIC,"15,108","36,804",144,3,"12,268",2023
Cameroon,AFRO,LMIC,"8,784","22,906",161,2,"11,453",2023
Zambia,AFRO,LMIC,"9,543","28,900",203,3,"9,633",2019
Uganda,AFRO,LIC,"15,507","46,945",203,5,"9,389",2026
Mali,AFRO,LIC,"7,181","18,269",154,2,"9,134",2026
Burkina Faso,AFRO,LIC,"7,191","17,974",150,2,"8,987",2025
Madagascar,AFRO,LIC,"11,058","25,555",131,3,"8,518",2022
Papua New Guinea,WPRO,LMIC,"7,299","16,837",131,2,"8,418",2024
Sudan,EMRO,LIC,"19,880","46,553",134,6,"7,759",2022
Rwanda,AFRO,LIC,"6,598","15,430",134,2,"7,715",2023
Cote d'Ivoire,AFRO,LMIC,"11,712","28,574",144,4,"7,144",2026
Ghana,AFRO,LMIC,"15,246","34,299",125,6,"5,716",2026
Senegal,AFRO,LMIC,"7,178","17,579",145,4,"4,395",2024
Tanzania,AFRO,LMIC,"16,916","44,604",164,11,"4,055",2026
Kenya,AFRO,LMIC,"21,375","51,868",143,18,"2,882",2026
Guatemala,PAHO,UMIC,"9,266","22,823",146,8,"2,853",2026
Syrian Arab Republic,EMRO,LIC,"14,229","35,772",151,13,"2,752",2023
