Stratum,Category,GCO records,DIRAC matched,DIRAC missing,"Missing, %",High-growth missing
HDI group,High HDI,43,37,6,14.0,3
HDI group,Low HDI,33,18,15,45.5,10
HDI group,Medium HDI,38,27,11,28.9,3
HDI group,Missing,10,6,4,40.0,1
HDI group,Very High HDI,62,62,0,0.0,0
Income group,High income,54,51,3,5.6,0
Income group,Low income,27,15,12,44.4,9
Income group,Lower middle income,53,37,16,30.2,6
Income group,Missing,5,4,1,20.0,1
Income group,Upper middle income,47,43,4,8.5,1
WHO region,AFRO,47,29,18,38.3,10
WHO region,EMRO,22,18,4,18.2,3
WHO region,EURO,50,50,0,0.0,0
WHO region,Missing,1,1,0,0.0,0
WHO region,PAHO,34,30,4,11.8,2
WHO region,SEARO,11,8,3,27.3,1
WHO region,WPRO,21,14,7,33.3,1
