country_iso3,country,who_region,income_label,gco2022_selected_cases_2022,gco2022_selected_cases_2050,gco2022_selected_growth_2022_2050,gco2022_growth_percentile,gco2022_mv_per_1000_selected_cases_2050,selected_site_cases_2024,selected_site_cases_2050,selected_site_relative_case_growth_2050,gco2024_growth_percentile_common,mv_units_per_1000_selected_site_cases_2050,gco2022_screen_positive,current_screen_positive,burden_version_transition
GTM,Guatemala,PAHO,Upper middle income,8259.0,19202.0,1.324978810994067,74.49664429530202,0.41662326840954067,9266.0,22823.0,1.4630908698467515,91.94630872483222,0.3505235946194628,False,True,New in GCO version 2024
NGA,Nigeria,AFRO,Lower middle income,74974.0,180414.0,1.4063542027903007,76.51006711409396,0.09422772068686465,97049.0,202738.0,1.0890271924491752,70.46979865771812,0.0838520652270417,True,False,No longer screen-positive
TGO,Togo,AFRO,Low income,2742.0,6966.0,1.5404814004376368,81.20805369127517,0.1435544071202986,3862.0,8394.0,1.1734852408078715,74.49664429530202,0.1191327138432213,True,False,No longer screen-positive
ZWE,Zimbabwe,AFRO,Lower middle income,9411.0,24610.0,1.6150249707788757,83.89261744966443,0.04063388866314506,14926.0,30640.0,1.0527937826611282,68.45637583892618,0.0326370757180156,True,False,No longer screen-positive
AGO,Angola,AFRO,Lower middle income,12773.0,37998.0,1.9748688640100212,94.63087248322147,0.07895152376440866,15108.0,36804.0,1.436060365369341,89.26174496644296,0.0815128790348875,True,True,Retained
BFA,Burkina Faso,AFRO,Low income,6255.0,17845.0,1.852917665867306,92.61744966442953,0.11207621182404034,7191.0,17974.0,1.4995132804895008,92.61744966442953,0.1112718370980304,True,True,Retained
CIV,Cote d'Ivoire,AFRO,Lower middle income,11811.0,30191.0,1.5561764456862246,81.87919463087249,0.13248981484548375,11712.0,28574.0,1.4397199453551912,89.93288590604027,0.1399874011338979,True,True,Retained
CMR,Cameroon,AFRO,Lower middle income,10801.0,28893.0,1.6750300898064994,87.24832214765101,0.06922091856158931,8784.0,22906.0,1.607695810564663,95.30201342281879,0.0873133676765912,True,True,Retained
COD,Democratic Republic of the Congo,AFRO,Low income,29343.0,76751.0,1.6156493882697747,84.56375838926175,0.01302914620004951,38447.0,91916.0,1.3907196920435925,84.56375838926175,0.0108794986727011,True,True,Retained
ETH,Ethiopia,AFRO,Low income,37430.0,99468.0,1.6574405557039809,86.57718120805369,0.03016045361322234,41349.0,99613.0,1.409078816900046,86.57718120805369,0.0301165510525734,True,True,Retained
GHA,Ghana,AFRO,Lower middle income,13690.0,33761.0,1.4661066471877282,79.19463087248322,0.1777198542697195,15246.0,34299.0,1.2497048406139315,77.18120805369128,0.1749322137671652,True,True,Retained
KEN,Kenya,AFRO,Lower middle income,25319.0,68111.0,1.6901141435285754,87.91946308724832,0.2642744931068403,21375.0,51868.0,1.4265730994152046,88.59060402684564,0.3470347805968998,True,True,Retained
MDG,Madagascar,AFRO,Low income,12218.0,33421.0,1.735390407595351,90.60402684563759,0.0897639208880644,11058.0,25555.0,1.3109965635738832,79.19463087248322,0.1173938563881823,True,True,Retained
MLI,Mali,AFRO,Low income,7499.0,21134.0,1.8182424323243098,91.94630872483222,0.09463423866754991,7181.0,18269.0,1.5440746414148447,94.63087248322147,0.1094750670534785,True,True,Retained
MOZ,Mozambique,AFRO,Low income,12383.0,32038.0,1.5872567229265928,82.5503355704698,0.031212934640114865,11653.0,28686.0,1.461683686604308,91.2751677852349,0.0348602105556717,True,True,Retained
MWI,Malawi,AFRO,Low income,10404.0,28790.0,1.7672049211841598,91.2751677852349,0.06946856547412296,12864.0,34319.0,1.667832711442786,96.64429530201343,0.0582767563157434,True,True,Retained
NER,Niger,AFRO,Low income,4189.0,12513.0,1.9871090952494628,95.30201342281879,0.07991688643810436,7410.0,19785.0,1.6700404858299596,97.31543624161074,0.0505433409148344,True,True,Retained
PNG,Papua New Guinea,WPRO,Lower middle income,6283.0,15204.0,1.4198631227120802,77.85234899328859,0.13154433043935806,7299.0,16837.0,1.3067543499109466,78.52348993288591,0.1187860070083744,True,True,Retained
RWA,Rwanda,AFRO,Low income,3569.0,9245.0,1.5903614457831325,83.22147651006712,0.21633315305570577,6598.0,15430.0,1.3385874507426494,79.86577181208054,0.1296176279974076,True,True,Retained
SDN,Sudan,EMRO,Low income,13711.0,33031.0,1.4090875939027059,77.18120805369128,0.18164754321697799,19880.0,46553.0,1.3417002012072434,80.53691275167785,0.1288853564754151,True,True,Retained
SEN,Senegal,AFRO,Lower middle income,6158.0,16594.0,1.6947060734004546,88.59060402684564,0.2410509822827528,7178.0,17579.0,1.4490108665366397,90.60402684563759,0.2275442289094942,True,True,Retained
SYR,Syrian Arab Republic,EMRO,Low income,11403.0,34967.0,2.066473734982022,96.64429530201343,0.371779106014242,14229.0,35772.0,1.514020662028252,93.28859060402685,0.3634127250363412,True,True,Retained
TZA,Tanzania,AFRO,Lower middle income,27784.0,87982.0,2.166642672041463,97.31543624161074,0.1250255734127435,16916.0,44604.0,1.6367935682194372,95.9731543624161,0.2466146533943144,True,True,Retained
UGA,Uganda,AFRO,Low income,18233.0,52695.0,1.8900893983436626,93.95973154362416,0.09488566277635449,15507.0,46945.0,2.0273424904881665,98.65771812080537,0.1065076152944935,True,True,Retained
YEM,Yemen,EMRO,Low income,7027.0,19134.0,1.7229258574071438,89.26174496644296,0.052262987352357064,11974.0,33953.0,1.835560380825121,97.98657718120806,0.0294524784260595,True,True,Retained
ZMB,Zambia,AFRO,Lower middle income,8002.0,26536.0,2.316170957260685,98.65771812080537,0.11305396442568585,9543.0,28900.0,2.02839777847637,99.32885906040269,0.1038062283737024,True,True,Retained
ALB,Albania,EURO,Upper middle income,4466.0,6106.0,0.3672189879086431,29.53020134228188,0.6550933508024893,4884.0,5453.0,0.1165028665028665,15.436241610738255,0.7335411699981661,False,False,Not screen-positive in either version
ARE,United Arab Emirates,EMRO,High income,2584.0,9450.0,2.6571207430340555,99.32885906040269,2.1164021164021163,4232.0,6441.0,0.5219754253308129,38.92617449664429,3.105107902499612,False,False,Not screen-positive in either version
ARG,Argentina,PAHO,Upper middle income,65909.0,107542.0,0.6316739747227238,42.95302013422819,1.2181287311004072,66042.0,101667.0,0.5394294539838285,39.59731543624161,1.2885203655069983,False,False,Not screen-positive in either version
ARM,Armenia,EURO,Upper middle income,4666.0,5730.0,0.22803257608229746,19.463087248322147,1.3961605584642234,5693.0,7994.0,0.4041805726330581,34.22818791946309,1.0007505629221916,False,False,Not screen-positive in either version
AUS,Australia,WPRO,High income,70895.0,112753.0,0.5904224557444108,39.59731543624161,1.986643370908091,75401.0,112085.0,0.4865187464357237,37.58389261744966,1.9984832939287147,False,False,Not screen-positive in either version
AUT,Austria,EURO,High income,23398.0,29513.0,0.2613471236857851,22.14765100671141,1.9652356588621964,23043.0,27849.0,0.2085665928915505,21.476510067114095,2.0826600596071674,False,False,Not screen-positive in either version
AZE,Azerbaijan,EURO,Upper middle income,9025.0,15636.0,0.7325207756232687,46.97986577181208,0.6395497569710924,6191.0,10177.0,0.6438378291067679,46.308724832214764,0.9826078412105728,False,False,Not screen-positive in either version
BEL,Belgium,EURO,High income,40599.0,52076.0,0.28269169191359395,23.48993288590604,1.901067670327982,40580.0,49806.0,0.2273533760473139,22.14765100671141,1.987712323816408,False,False,Not screen-positive in either version
BGD,Bangladesh,SEARO,Lower middle income,103122.0,213524.0,1.0705959930955566,65.1006711409396,0.17328262865064348,114044.0,226530.0,0.9863386061520116,64.42953020134227,0.1633337747759678,False,False,Not screen-positive in either version
BGR,Bulgaria,EURO,Upper middle income,16613.0,15783.0,-0.04996087401432613,3.3557046979865772,3.0412469112336056,16651.0,15777.0,-0.0524893399795808,3.3557046979865772,3.042403498764024,False,False,Not screen-positive in either version
BHR,Bahrain,EMRO,High income,706.0,2259.0,2.1997167138810196,97.98657718120806,0.8853474988933157,1035.0,2011.0,0.9429951690821256,62.41610738255034,0.9945300845350572,False,False,Not screen-positive in either version
BHS,Bahamas,PAHO,High income,558.0,1135.0,1.0340501792114696,63.758389261744966,0.8810572687224669,691.0,1152.0,0.6671490593342981,47.651006711409394,0.8680555555555556,False,False,Not screen-positive in either version
BIH,Bosnia Herzegovina,EURO,Upper middle income,7194.0,7731.0,0.07464553794829024,8.053691275167784,2.5869874531108525,7255.0,7438.0,0.0252239834596829,7.38255033557047,2.688894864210809,False,False,Not screen-positive in either version
BLR,Belarus,EURO,Upper middle income,22917.0,26938.0,0.17545926604703932,15.436241610738255,1.2992798277526172,23264.0,25445.0,0.09375,12.751677852348994,1.375515818431912,False,False,Not screen-positive in either version
BOL,Bolivia (Plurinational State of),PAHO,Lower middle income,8393.0,14408.0,0.716668652448469,46.308724832214764,1.110494169905608,6849.0,13579.0,0.9826252007592348,63.758389261744966,1.1782900066278812,False,False,Not screen-positive in either version
BRA,Brazil,PAHO,Upper middle income,340984.0,621415.0,0.8224168875958989,51.67785234899329,0.5954153021732659,329595.0,575249.0,0.7453207724631745,53.02013422818792,0.6431997274223857,False,False,Not screen-positive in either version
BRB,Barbados,PAHO,High income,634.0,736.0,0.1608832807570978,12.751677852348994,4.076086956521739,610.0,713.0,0.1688524590163934,18.79194630872483,4.207573632538569,False,False,Not screen-positive in either version
