Stratum,Category,"All GCO country records, No.","DIRAC matched, No.","DIRAC missing, No.","Observed screen-positive, No.","High-growth resource-unknown, No.","Lower-bound proportion, %","Upper-bound proportion, %","Matched-only proportion, %"
Global,All countries,186,150,36,23,17,12.365591397849462,21.50537634408602,15.333333333333334
WHO region,AFRO,47,29,18,18,10,38.297872340425535,59.57446808510638,62.06896551724138
WHO region,EMRO,22,18,4,3,3,13.636363636363637,27.272727272727273,16.666666666666668
WHO region,EURO,50,50,0,0,0,0.0,0.0,0.0
WHO region,Missing,1,1,0,0,0,0.0,0.0,0.0
WHO region,PAHO,34,30,4,1,2,2.9411764705882355,8.823529411764707,3.3333333333333335
WHO region,SEARO,11,8,3,0,1,0.0,9.090909090909092,0.0
WHO region,WPRO,21,14,7,1,1,4.761904761904762,9.523809523809524,7.142857142857143
Income group,High income,54,51,3,0,0,0.0,0.0,0.0
Income group,Low income,27,15,12,13,9,48.148148148148145,81.48148148148148,86.66666666666667
Income group,Lower middle income,53,37,16,9,6,16.9811320754717,28.30188679245283,24.324324324324323
Income group,Missing,5,4,1,0,1,0.0,20.0,0.0
Income group,Upper middle income,47,43,4,1,1,2.127659574468085,4.25531914893617,2.3255813953488373
HDI group,High HDI,43,37,6,0,3,0.0,6.976744186046512,0.0
HDI group,Low HDI,33,18,15,14,10,42.42424242424242,72.72727272727273,77.77777777777777
HDI group,Medium HDI,38,27,11,9,3,23.68421052631579,31.57894736842105,33.333333333333336
HDI group,Missing,10,6,4,0,1,0.0,10.0,0.0
HDI group,Very High HDI,62,62,0,0,0,0.0,0.0,0.0
