Country,Region / income,"Selected-site cases, 2024 to 2050 (growth)",MV units (record year),2050 cases/MV unit,GCO 2022 burden-version status,2024-density sensitivity,"Sensitivity support, No./7"
Democratic Republic of the Congo,AFRO / Low income,"38,447 to 91,916 (+139%)",1 (2021),91916,Retained,Retained,7/7
Yemen,EMRO / Low income,"11,974 to 33,953 (+184%)",1 (2018),33953,Retained,Retained,7/7
Ethiopia,AFRO / Low income,"41,349 to 99,613 (+141%)",3 (2022),33204,Retained,Retained,7/7
Mozambique,AFRO / Low income,"11,653 to 28,686 (+146%)",1 (2025),28686,Retained,Retained,7/7
Niger,AFRO / Low income,"7,410 to 19,785 (+167%)",1 (2021),19785,Retained,Retained,7/7
Malawi,AFRO / Low income,"12,864 to 34,319 (+167%)",2 (2026),17160,Retained,Retained,7/7
Angola,AFRO / Lower middle income,"15,108 to 36,804 (+144%)",3 (2023),12268,Retained,Retained,7/7
Cameroon,AFRO / Lower middle income,"8,784 to 22,906 (+161%)",2 (2023),11453,Retained,Retained,7/7
Zambia,AFRO / Lower middle income,"9,543 to 28,900 (+203%)",3 (2019),9633,Retained,Retained,7/7
Uganda,AFRO / Low income,"15,507 to 46,945 (+203%)",5 (2026),9389,Retained,Retained,7/7
Mali,AFRO / Low income,"7,181 to 18,269 (+154%)",2 (2026),9134,Retained,Retained,7/7
Burkina Faso,AFRO / Low income,"7,191 to 17,974 (+150%)",2 (2025),8987,Retained,Retained,7/7
Madagascar,AFRO / Low income,"11,058 to 25,555 (+131%)",3 (2022),8518,Retained,Retained,6/7
Papua New Guinea,WPRO / Lower middle income,"7,299 to 16,837 (+131%)",2 (2024),8418,Retained,Retained,6/7
Sudan,EMRO / Low income,"19,880 to 46,553 (+134%)",6 (2022),7759,Retained,Retained,7/7
Rwanda,AFRO / Low income,"6,598 to 15,430 (+134%)",2 (2023),7715,Retained,Retained,5/7
Cote d'Ivoire,AFRO / Lower middle income,"11,712 to 28,574 (+144%)",4 (2026),7144,Retained,Retained,7/7
Ghana,AFRO / Lower middle income,"15,246 to 34,299 (+125%)",6 (2026),5716,Retained,Retained,6/7
Senegal,AFRO / Lower middle income,"7,178 to 17,579 (+145%)",4 (2024),4395,Retained,Retained,7/7
Tanzania,AFRO / Lower middle income,"16,916 to 44,604 (+164%)",11 (2026),4055,Retained,Retained,7/7
Kenya,AFRO / Lower middle income,"21,375 to 51,868 (+143%)",18 (2026),2882,Retained,Retained,6/7
Guatemala,PAHO / Upper middle income,"9,266 to 22,823 (+146%)",8 (2026),2853,New in version 2024,Not retained,4/7
Syrian Arab Republic,EMRO / Low income,"14,229 to 35,772 (+151%)",13 (2023),2752,Retained,Not retained,5/7
