country_iso3,country,who_region,income_label,gco2022_selected_cases_2025,gco2022_selected_cases_2050,gco2022_selected_growth_2025_2050,gco2022_common_year_growth_percentile,gco2022_mv_per_1000_selected_cases_2050,gco2024_selected_cases_2025,gco2024_selected_cases_2050,gco2024_selected_growth_2025_2050,gco2024_common_year_growth_percentile,gco2024_mv_per_1000_selected_cases_2050,gco2022_common_year_screen_positive,gco2024_common_year_screen_positive,common_year_burden_version_transition
PNG,Papua New Guinea,WPRO,Lower middle income,7378.0,15204.0,1.060721062618596,73.15436241610739,0.13154433043935806,7591,16837,1.2180213410617837,78.52348993288591,0.11878600700837441,False,True,New in GCO version 2024
ZWE,Zimbabwe,AFRO,Lower middle income,11078.0,24610.0,1.2215201299873624,77.85234899328859,0.04063388866314506,15273,30640,1.006154652000262,69.79865771812081,0.03263707571801567,True,False,No longer screen-positive
AGO,Angola,AFRO,Lower middle income,15762.0,37998.0,1.410734678340312,87.24832214765101,0.07895152376440866,15654,36804,1.3510923725565351,89.93288590604027,0.0815128790348875,True,True,Retained
BFA,Burkina Faso,AFRO,Low income,7207.0,17845.0,1.476064936866935,91.2751677852349,0.11207621182404034,7446,17974,1.4139135106097234,93.28859060402685,0.11127183709803048,True,True,Retained
CIV,Cote d'Ivoire,AFRO,Lower middle income,12284.0,30191.0,1.457749918593292,90.60402684563759,0.13248981484548375,12155,28574,1.3508021390374332,89.26174496644296,0.13998740113389796,True,True,Retained
CMR,Cameroon,AFRO,Lower middle income,11853.0,28893.0,1.4376107314603899,89.26174496644296,0.06922091856158931,9115,22906,1.5130005485463522,95.30201342281879,0.08731336767659129,True,True,Retained
COD,Democratic Republic of the Congo,AFRO,Low income,32255.0,76751.0,1.379507053170051,84.56375838926175,0.01302914620004951,39724,91916,1.3138656731446985,85.90604026845638,0.010879498672701162,True,True,Retained
ETH,Ethiopia,AFRO,Low income,41724.0,99468.0,1.3839516824849007,85.23489932885906,0.03016045361322234,42857,99613,1.3243110810369367,86.57718120805369,0.030116551052573458,True,True,Retained
GHA,Ghana,AFRO,Lower middle income,15811.0,33761.0,1.1352855606855987,75.83892617449665,0.1777198542697195,15792,34299,1.1719224924012157,77.18120805369128,0.17493221376716522,True,True,Retained
GTM,Guatemala,PAHO,Upper middle income,8262.0,19202.0,1.3241345921084484,81.87919463087249,0.41662326840954067,9635,22823,1.368759730150493,91.2751677852349,0.3505235946194628,True,True,Retained
KEN,Kenya,AFRO,Lower middle income,28073.0,68111.0,1.426210237594842,87.91946308724832,0.2642744931068403,22142,51868,1.3425164845090778,88.59060402684564,0.34703478059689985,True,True,Retained
MDG,Madagascar,AFRO,Low income,14131.0,33421.0,1.3650838581841342,83.22147651006712,0.0897639208880644,11462,25555,1.2295410923050079,79.19463087248322,0.11739385638818235,True,True,Retained
MLI,Mali,AFRO,Low income,8309.0,21134.0,1.5435070405584306,93.28859060402685,0.09463423866754991,7432,18269,1.4581539289558665,94.63087248322147,0.10947506705347856,True,True,Retained
MOZ,Mozambique,AFRO,Low income,13430.0,32038.0,1.3855547282204022,85.90604026845638,0.031212934640114865,12043,28686,1.381964626754131,91.94630872483222,0.034860210555671754,True,True,Retained
MWI,Malawi,AFRO,Low income,11352.0,28790.0,1.5361169837914024,92.61744966442953,0.06946856547412296,13396,34319,1.5618841445207525,96.64429530201343,0.058276756315743465,True,True,Retained
