country_iso3,country_display,who_region,income_label,dirac_last_update_year,selected_site_relative_case_growth_2050,mv_units_per_1000_selected_site_cases_2050,current_screen_positive,recent_dirac_record,recent_record_screen_positive,recency_disposition
ALB,Albania,EURO,Upper middle income,2025.0,0.1165028665028665,0.7335411699981661,False,True,False,Not classified
DZA,Algeria,AFRO,Lower middle income,2026.0,0.9236924686192468,0.8700144096136593,False,True,False,Not classified
AGO,Angola,AFRO,Lower middle income,2023.0,1.436060365369341,0.0815128790348875,True,True,True,Primary country retained
AZE,Azerbaijan,EURO,Upper middle income,2023.0,0.6438378291067679,0.9826078412105728,False,True,False,Not classified
ARG,Argentina,PAHO,Upper middle income,2026.0,0.5394294539838285,1.2885203655069983,False,True,False,Not classified
AUS,Australia,WPRO,High income,2025.0,0.4865187464357237,1.9984832939287147,False,True,False,Not classified
AUT,Austria,EURO,High income,2026.0,0.2085665928915505,2.0826600596071674,False,True,False,Not classified
BHS,Bahamas,PAHO,High income,2025.0,0.6671490593342981,0.8680555555555556,False,True,False,Not classified
BHR,Bahrain,EMRO,High income,2018.0,0.9429951690821256,0.9945300845350572,False,False,False,Not classified
BGD,Bangladesh,SEARO,Lower middle income,2026.0,0.9863386061520116,0.1633337747759678,False,True,False,Not classified
ARM,Armenia,EURO,Upper middle income,2026.0,0.4041805726330581,1.0007505629221916,False,True,False,Not classified
BRB,Barbados,PAHO,High income,2025.0,0.1688524590163934,4.207573632538569,False,True,False,Not classified
BEL,Belgium,EURO,High income,2023.0,0.2273533760473139,1.987712323816408,False,True,False,Not classified
BOL,Bolivia (Plurinational State of),PAHO,Lower middle income,2025.0,0.9826252007592348,1.1782900066278812,False,True,False,Not classified
BIH,Bosnia Herzegovina,EURO,Upper middle income,2026.0,0.0252239834596829,2.688894864210809,False,True,False,Not classified
BWA,Botswana,AFRO,Upper middle income,2026.0,1.353437876960193,0.7688364941055869,False,True,False,Not classified
BRA,Brazil,PAHO,Upper middle income,2026.0,0.7453207724631745,0.6431997274223857,False,True,False,Not classified
BRN,Brunei Darussalam,WPRO,High income,2025.0,1.0025062656641603,2.503128911138924,False,True,False,Not classified
BGR,Bulgaria,EURO,Upper middle income,2025.0,-0.0524893399795808,3.042403498764024,False,True,False,Not classified
MMR,Myanmar,SEARO,Lower middle income,2025.0,0.5765215628642376,0.3696620003535897,False,True,False,Not classified
BLR,Belarus,EURO,Upper middle income,2024.0,0.09375,1.375515818431912,False,True,False,Not classified
KHM,Cambodia,WPRO,Lower middle income,2024.0,0.8243540119259337,0.1720282126268708,False,True,False,Not classified
CMR,Cameroon,AFRO,Lower middle income,2023.0,1.607695810564663,0.0873133676765912,True,True,True,Primary country retained
CAN,Canada,PAHO,High income,2026.0,0.4029155066161979,1.6500546301870804,False,True,False,Not classified
LKA,Sri Lanka,SEARO,Lower middle income,2026.0,0.4716507552328448,0.8832307973442164,False,True,False,Not classified
CHL,Chile,PAHO,High income,2025.0,1.066927230236119,0.8772442832914206,False,True,False,Not classified
CHN,China,WPRO,Upper middle income,2026.0,0.4727670356069103,0.8073093991244603,False,True,False,Not classified
COL,Colombia,PAHO,Upper middle income,2026.0,1.345573493721642,0.7347758933525275,False,True,False,Not classified
COD,Democratic Republic of the Congo,AFRO,Low income,2021.0,1.3907196920435925,0.0108794986727011,True,False,False,Primary country; record before 2023
CRI,Costa Rica,PAHO,Upper middle income,2026.0,0.7450102592799851,1.282736504543025,False,True,False,Not classified
HRV,Croatia,EURO,High income,2026.0,-0.0034008464328899,2.729961325547888,False,True,False,Not classified
CUB,Cuba,PAHO,Upper middle income,2026.0,0.3573937715327974,0.4976733769626993,False,True,False,Not classified
CYP,Cyprus,EURO,High income,2025.0,0.6906565656565656,1.8670649738610905,False,True,False,Not classified
CZE,Czechia,EURO,High income,2021.0,0.1499546866908337,1.8857834445101185,False,False,False,Not classified
DNK,Denmark,EURO,High income,2020.0,0.1794555021734157,2.1336850680839508,False,False,False,Not classified
