Metric,Value
"Countries meeting both primary thresholds, No.",23
"Latest-reported MV units, No.",103
"Projected selected-site cases in 2024, No.",327768
"Projected selected-site cases in 2050, No.",819964
"Additional projected selected-site cases, No.",492196
"Projected growth, median (IQR), %",146.2 (140.0-162.2)
"Projected 2050 cases per recorded MV unit, median (IQR)","8,987 (6,430-14,714)"
"Supported by all 7 alternative specifications, No.",16
"Supported by at least 6 of 7 alternative specifications, No.",20
"Primary countries with DIRAC records before 2023, No.",7
