country_iso3,gco_country,who_region,income_label,hdi_label,source_population_label,mv_therapy_units,centres,last_update,cases_2024,deaths_2024,all40_2024,all39_2024,population_2024,cases_2025,deaths_2025,all40_2025,all39_2025,population_2025,cases_2030,deaths_2030,all40_2030,all39_2030,population_2030,cases_2040,deaths_2040,all40_2040,all39_2040,population_2040,rt_relevant_cases_2050,deaths_2050,all40_2050,all39_2050,population_2050,release2022_cases_2025,release2022_cases_2050,thirteen_site_cases_2024,thirteen_site_cases_2050,growth,mv_units_per_1000_rt_relevant_cases_2050,baseline_density,primary,support_7,additional_units_to_cross_cutoff,dirac_matched,high_growth_low_resource,current_screen_positive,selected_site_cases_per_mv_unit_2050,unit_pressure_rank,old_growth,new_growth,old_density,new_density,old_selected,new_selected,common,old_percentile,new_percentile,gco2022_common_year_growth_percentile,gco2024_common_year_growth_percentile,gco2024_selected_cases_2050,common_year_burden_version_transition,mv_units_per_1000_selected_site_cases_2050
AFG,Afghanistan,EMRO,Low income,Low HDI,Afghanistan,,,,12929,7280,25780,26268,42647503,13437,7569,26763,27271,43844121,16346,9222,32327,32944,50039410,24308,13819,47364,48280,63347882,35380,20480,68162,69495,76885146,12392.0,31379.0,12072,32926,1.7364838734627583,,,False,0,,0,0,False,,,1.532198192382182,1.6330282057006773,,,False,False,False,,,,,35380,Not comparable,
ALB,Albania,EURO,Upper middle income,High HDI,Albania,4.0,2.0,2025.0,5298,2701,8688,9176,2791774,5354,2738,8784,9282,2771517,5583,2905,9187,9732,2671894,5822,3148,9649,10271,2461874,5956,3302,9880,10544,2240174,5044.0,6422.0,4884,5453,0.1241978104945262,0.6715916722632639,0.7550018875047187,False,0,0.0,1,0,False,1489.0,47.0,0.2731958762886597,0.1124392977213297,0.6228589224540642,0.6715916722632639,False,False,True,24.832214765100677,16.10738255033557,24.832214765100677,16.10738255033557,5956,Not screen-positive in either version,0.6715916722632639
DZA,Algeria,AFRO,Lower middle income,High HDI,Algeria,64.0,23.0,2026.0,41900,20675,71500,72825,46814315,43316,21426,73886,75262,47435321,50688,25426,86414,88081,50154175,66325,34135,113371,115787,54873486,81381,42217,139071,142390,59565563,39777.0,76141.0,38240,73562,0.9422673031026254,0.7864243496639265,1.5274463007159904,False,0,0.0,1,0,False,1271.578125,55.0,0.91419664630314,0.8787745867577801,0.8405458294479978,0.7864243496639265,False,False,True,65.1006711409396,61.74496644295302,65.1006711409396,61.74496644295302,81381,Not screen-positive in either version,0.7864243496639265
AGO,Angola,AFRO,Lower middle income,Medium HDI,Angola,3.0,2.0,2023.0,15545,9342,26493,27511,37885859,16106,9682,27414,28468,39040047,19184,11553,32434,33682,45160468,27049,16352,45073,46824,58965331,37855,22929,61863,64275,74295403,16173.0,38981.0,15108,36804,1.4351881633965906,0.0792497688548408,0.1929880990672242,True,7,15.0,1,1,True,12618.333333333334,9.0,1.41025165399122,1.3503663231094003,0.0769605705343629,0.0792497688548408,True,True,True,87.24832214765101,89.93288590604027,87.24832214765101,89.93288590604027,37855,Retained,0.0792497688548408
AZE,Azerbaijan,EURO,Upper middle income,High HDI,Azerbaijan,10.0,3.0,2023.0,6579,3130,15040,15251,10336588,6779,3233,15481,15699,10397721,7776,3747,17685,17944,10665389,9520,4664,21551,21910,11081343,10785,5320,24372,24792,11224933,10316.0,16712.0,6191,10177,0.6393068855449155,0.9272137227630968,1.5199878400972793,False,0,0.0,1,0,False,1078.5,65.0,0.6200077549437766,0.5909426169051482,0.5983724269985639,0.9272137227630968,False,False,True,46.30872483221477,44.966442953020135,46.30872483221477,44.966442953020135,10785,Not screen-positive in either version,0.9272137227630968
ARG,Argentina,PAHO,Upper middle income,Very High HDI,Argentina,131.0,89.0,2026.0,69370,33416,133448,139470,45696169,70637,34109,135838,141999,45851386,77197,37751,148269,155160,46585029,91629,45931,175361,183806,47817652,106874,55159,203945,214208,48308953,72823.0,112634.0,66042,101667,0.5406371630387776,1.225742463087374,1.8884243909470952,False,0,0.0,1,0,False,815.8320610687023,86.0,0.5466816802383863,0.5130031003581692,1.1630591118134843,1.225742463087374,False,False,True,42.28187919463088,40.939597315436245,42.28187919463088,40.939597315436245,106874,Not screen-positive in either version,1.225742463087374
AUS,Australia,WPRO,High income,Very High HDI,Australia,224.0,103.0,2025.0,80630,25830,160961,224864,26713213,82384,26618,164598,229737,26974034,91025,30897,182863,254072,28188546,106554,39255,216313,298516,30357457,119813,46239,244711,336324,32506979,81655.0,120736.0,75401,112085,0.48596056058539,1.8695800956490527,2.7781222869899542,False,0,0.0,1,0,False,534.8794642857143,117.0,0.4786112301757395,0.454323655078656,1.855287569573284,1.8695800956490527,False,False,True,39.59731543624161,36.91275167785235,39.59731543624161,36.91275167785235,119813,Not screen-positive in either version,1.8695800956490527
AUT,Austria,EURO,High income,Very High HDI,Austria,58.0,17.0,2026.0,24323,11453,46684,46684,9120822,24631,11669,47266,47266,9113584,26163,12705,50227,50227,9080356,28603,14870,55383,55383,8934068,29488,16598,57815,57815,8724340,25715.0,31377.0,23043,27849,0.212350450191177,1.9669017905588717,2.38457427126588,False,0,0.0,1,0,False,508.41379310344826,126.0,0.2201827727007583,0.1971905322561,1.8484877458010645,1.9669017905588717,False,False,True,20.80536912751678,20.80536912751678,20.80536912751678,20.80536912751678,29488,Not screen-positive in either version,1.9669017905588717
BHS,Bahamas,PAHO,High income,Very High HDI,Bahamas,1.0,1.0,2025.0,727,289,1116,1116,401290,743,296,1142,1142,403041,830,330,1272,1272,410275,1021,406,1558,1558,420356,1209,478,1833,1833,424275,687.0,1194.0,691,1152,0.6629986244841817,0.8271298593879239,1.375515818431912,False,0,0.0,1,0,False,1209.0,61.0,0.7379912663755459,0.6271870794078063,0.8375209380234506,0.8271298593879239,False,False,True,53.02013422818792,47.651006711409394,53.02013422818792,47.651006711409394,1209,Not screen-positive in either version,0.8271298593879239
BHR,Bahrain,EMRO,High income,Very High HDI,Bahrain,2.0,1.0,2018.0,1115,432,2090,2103,1607058,1155,447,2160,2174,1643343,1333,522,2470,2485,1765219,1731,699,3127,3146,1951243,2175,894,3870,3895,2139475,832.0,2384.0,1035,2011,0.9506726457399104,0.9195402298850576,1.7937219730941705,False,0,0.0,1,0,False,1087.5,64.0,1.8653846153846156,0.8831168831168832,0.8389261744966443,0.9195402298850576,False,False,True,97.31543624161074,62.41610738255034,97.31543624161074,62.41610738255034,2175,Not screen-positive in either version,0.9195402298850576
