country_iso3,Country,who_region,income_label,cases_2024,cases_2050,growth,units,last_update,density,support_7,additional_units_to_cross_cutoff
AGO,Angola,AFRO,Lower middle income,15545,37855,1.4351881633965906,3.0,2023.0,0.07924976885484084,7,15.0
CMR,Cameroon,AFRO,Lower middle income,8960,23352,1.6062500000000002,2.0,2023.0,0.08564576909900651,7,9.0
COD,"Congo, Democratic Republic of",AFRO,Low income,40047,95724,1.3902914075960746,1.0,2021.0,0.010446700931845724,7,45.0
ETH,Ethiopia,AFRO,Low income,44621,107644,1.4124067143273344,3.0,2022.0,0.02786964438333767,7,48.0
GHA,Ghana,AFRO,Lower middle income,15728,35386,1.2498728382502544,6.0,2026.0,0.16955858249025038,6,11.0
GTM,Guatemala,PAHO,Upper middle income,9396,23133,1.4620051085568329,8.0,2026.0,0.3458263087364371,4,3.0
CIV,Cote d'Ivoire,AFRO,Lower middle income,12093,29496,1.4390969982634583,4.0,2026.0,0.13561160835367508,7,10.0
KEN,Kenya,AFRO,Lower middle income,22342,54179,1.4249843344373825,18.0,2026.0,0.33223204562653424,6,8.0
MDG,Madagascar,AFRO,Low income,11316,26150,1.3108872393071755,3.0,2022.0,0.1147227533460803,6,10.0
MWI,Malawi,AFRO,Low income,13054,34849,1.6696031867626782,2.0,2026.0,0.05739045596717266,7,15.0
MLI,Mali,AFRO,Low income,7616,19359,1.5418855042016806,2.0,2026.0,0.10331112144222325,7,8.0
MOZ,Mozambique,AFRO,Low income,11851,29179,1.462155092397266,1.0,2025.0,0.03427122245450495,7,13.0
NER,Niger,AFRO,Low income,7662,20453,1.6694074654137303,1.0,2021.0,0.04889258299515963,7,9.0
PNG,Papua New Guinea,WPRO,Lower middle income,7607,17534,1.3049822531878532,2.0,2024.0,0.11406410402646287,6,7.0
RWA,Rwanda,AFRO,Low income,6979,16345,1.3420260782347042,2.0,2023.0,0.12236157846436219,6,6.0
SEN,Senegal,AFRO,Lower middle income,7494,18366,1.4507606084867892,4.0,2024.0,0.21779374931939452,7,5.0
SDN,Sudan,EMRO,Low income,20613,48235,1.3400281375830785,6.0,2022.0,0.12439100238416088,7,17.0
SYR,Syrian Arab Republic,EMRO,Low income,14838,37302,1.513950667205823,13.0,2023.0,0.3485067824781513,5,5.0
UGA,Uganda,AFRO,Low income,16188,49076,2.0316283666913764,5.0,2026.0,0.10188279403374358,7,19.0
TZA,"Tanzania, United Republic of",AFRO,Lower middle income,17494,46098,1.6350748828169657,11.0,2026.0,0.23862206603323355,7,11.0
BFA,Burkina Faso,AFRO,Low income,7414,18500,1.4952792015106553,2.0,2025.0,0.10810810810810811,7,7.0
YEM,Yemen,EMRO,Low income,12468,35375,1.8372633942893808,1.0,2018.0,0.028268551236749116,7,16.0
ZMB,Zambia,AFRO,Lower middle income,9832,29762,2.027054515866558,3.0,2019.0,0.10079967744103219,7,12.0
