Country,Region / income,Cases in 2024,Cases in 2050,Growth (%),MV units / update year,Support / 7
Democratic Republic of the Congo,AFRO / LIC,"40,047","95,724",139.0,1 / 2021,7/7
Ethiopia,AFRO / LIC,"44,621","107,644",141.2,3 / 2022,7/7
Yemen,EMRO / LIC,"12,468","35,375",183.7,1 / 2018,7/7
Mozambique,AFRO / LIC,"11,851","29,179",146.2,1 / 2025,7/7
Niger,AFRO / LIC,"7,662","20,453",166.9,1 / 2021,7/7
Malawi,AFRO / LIC,"13,054","34,849",167.0,2 / 2026,7/7
Angola,AFRO / LMIC,"15,545","37,855",143.5,3 / 2023,7/7
Cameroon,AFRO / LMIC,"8,960","23,352",160.6,2 / 2023,7/7
Zambia,AFRO / LMIC,"9,832","29,762",202.7,3 / 2019,7/7
Uganda,AFRO / LIC,"16,188","49,076",203.2,5 / 2026,7/7
Mali,AFRO / LIC,"7,616","19,359",154.2,2 / 2026,7/7
Burkina Faso,AFRO / LIC,"7,414","18,500",149.5,2 / 2025,7/7
Papua New Guinea,WPRO / LMIC,"7,607","17,534",130.5,2 / 2024,6/7
Madagascar,AFRO / LIC,"11,316","26,150",131.1,3 / 2022,6/7
Rwanda,AFRO / LIC,"6,979","16,345",134.2,2 / 2023,6/7
Sudan,EMRO / LIC,"20,613","48,235",134.0,6 / 2022,7/7
Cote d'Ivoire,AFRO / LMIC,"12,093","29,496",143.9,4 / 2026,7/7
Ghana,AFRO / LMIC,"15,728","35,386",125.0,6 / 2026,6/7
Senegal,AFRO / LMIC,"7,494","18,366",145.1,4 / 2024,7/7
Tanzania,AFRO / LMIC,"17,494","46,098",163.5,11 / 2026,7/7
Kenya,AFRO / LMIC,"22,342","54,179",142.5,18 / 2026,6/7
Guatemala,PAHO / UMIC,"9,396","23,133",146.2,8 / 2026,4/7
Syrian Arab Republic,EMRO / LIC,"14,838","37,302",151.4,13 / 2023,5/7
