Country,Reason for follow-up,Update year,Growth (%),Cases in 2050
Democratic Republic of the Congo,Selected; update before 2023,2021,139.0,"95,724"
Ethiopia,Selected; update before 2023,2022,141.2,"107,644"
Madagascar,Selected; update before 2023,2022,131.1,"26,150"
Niger,Selected; update before 2023,2021,166.9,"20,453"
Sudan,Selected; update before 2023,2022,134.0,"48,235"
Yemen,Selected; update before 2023,2018,183.7,"35,375"
Zambia,Selected; update before 2023,2019,202.7,"29,762"
Afghanistan,Unmatched high-growth record,Unknown,173.6,"35,380"
Belize,Unmatched high-growth record,Unknown,150.6,639
Benin,Unmatched high-growth record,Unknown,137.8,"14,056"
Burundi,Unmatched high-growth record,Unknown,168.0,"12,082"
Cape Verde,Unmatched high-growth record,Unknown,121.5,649
Central African Republic,Unmatched high-growth record,Unknown,134.5,"3,396"
Chad,Unmatched high-growth record,Unknown,158.2,"28,126"
"Congo, Republic of",Unmatched high-growth record,Unknown,137.8,"5,197"
French Guyana,Unmatched high-growth record,Unknown,127.9,743
Gaza Strip and West Bank,Unmatched high-growth record,Unknown,165.3,"10,356"
Guinea,Unmatched high-growth record,Unknown,120.0,"12,400"
Guinea-Bissau,Unmatched high-growth record,Unknown,134.1,"1,964"
Maldives,Unmatched high-growth record,Unknown,228.5,933
Sierra Leone,Unmatched high-growth record,Unknown,125.4,"7,984"
Solomon Islands,Unmatched high-growth record,Unknown,138.0,"1,116"
Somalia,Unmatched high-growth record,Unknown,163.0,"15,394"
The Republic of the Gambia,Unmatched high-growth record,Unknown,138.8,"2,335"
Vanuatu,Unmatched high-growth record,Unknown,118.5,330
